date,n_nodes,n_edges,density,n_triangles,n_4cliques,avg_clustering,transitivity,triangles_per_node,panic,pre_panic,normal
2023-12-18,80,145,0.04588607594936709,153,24,0.28956490782291694,0.4180327868852459,1.9125,0,0,1
2023-12-25,80,146,0.046202531645569624,166,24,0.3091094212804739,0.44905320108205593,2.075,0,0,1
2024-01-02,80,114,0.036075949367088606,98,11,0.21342431873681872,0.4362017804154303,1.225,0,0,1
2024-01-09,80,110,0.03481012658227848,91,13,0.2572256868948045,0.4278996865203762,1.1375,0,0,1
2024-01-16,80,95,0.030063291139240507,59,9,0.23412698412698413,0.3847826086956522,0.7375,0,0,1
2024-01-23,80,107,0.033860759493670886,104,13,0.24775280275280273,0.5040387722132472,1.3,0,0,1
2024-01-30,80,75,0.023734177215189875,44,13,0.20006944444444447,0.45517241379310347,0.55,0,0,1
2024-02-15,80,76,0.024050632911392405,51,8,0.24762896825396824,0.5032894736842105,0.6375,0,0,1
2024-02-22,80,86,0.02721518987341772,97,4,0.24404852092352095,0.6438053097345132,1.2125,0,0,1
2024-03-01,80,81,0.025632911392405065,80,6,0.2477020202020202,0.631578947368421,1.0,0,0,1
2024-03-08,80,72,0.02278481012658228,57,8,0.21953373015873018,0.6173285198555957,0.7125,0,0,1
2024-03-15,80,65,0.020569620253164556,52,4,0.2733928571428571,0.6812227074235808,0.65,0,0,1
2024-03-22,80,70,0.022151898734177215,45,3,0.28815476190476186,0.5648535564853556,0.5625,0,0,1
2024-03-29,80,70,0.022151898734177215,38,4,0.27125,0.5327102803738317,0.475,0,0,1
2024-04-09,80,62,0.019620253164556962,30,2,0.2682142857142857,0.5232558139534884,0.375,0,0,1
2024-04-16,80,62,0.019620253164556962,32,4,0.2098809523809524,0.5517241379310345,0.4,0,0,1
2024-04-23,80,118,0.03734177215189873,77,11,0.30727564102564103,0.4301675977653631,0.9625,0,0,1
2024-04-30,80,140,0.04430379746835443,92,14,0.32767947330447333,0.3607843137254902,1.15,0,0,1
2024-05-08,80,137,0.04335443037974684,86,15,0.30227899293688765,0.34864864864864864,1.075,0,0,1
2024-05-15,80,131,0.041455696202531644,73,9,0.33068618473030237,0.32882882882882886,0.9125,0,0,1
2024-05-22,80,132,0.04177215189873418,79,12,0.30055348654613356,0.3414985590778098,0.9875,0,1,0
2024-05-29,80,142,0.04493670886075949,112,15,0.3192338747853454,0.4019138755980861,1.4,0,1,0
2024-06-05,80,159,0.05031645569620253,148,23,0.33521011446283183,0.38508239375542064,1.85,0,1,0
2024-06-13,80,139,0.0439873417721519,100,18,0.32751921387790955,0.3374578177727784,1.25,0,1,0
2024-06-20,80,150,0.04746835443037975,118,15,0.3051409423909424,0.3390804597701149,1.475,0,1,0
2024-06-27,80,161,0.050949367088607596,160,26,0.3453733039835981,0.3870967741935484,2.0,0,1,0
2024-07-04,80,166,0.052531645569620256,181,21,0.40405978159267636,0.3983859134262656,2.2625,0,1,0
2024-07-11,80,143,0.045253164556962024,125,12,0.306013061013061,0.3680078508341511,1.5625,0,1,0
2024-07-18,80,63,0.019936708860759492,44,3,0.19018488455988455,0.5409836065573771,0.55,0,1,0
2024-07-29,80,85,0.02689873417721519,87,6,0.2564484126984127,0.5637149028077754,1.0875,1,1,0
2024-08-05,80,141,0.044620253164556964,153,17,0.3393290019367606,0.3984375,1.9125,1,1,0
2024-08-12,80,657,0.2079113924050633,2645,307,0.5759531809595722,0.501961032388664,33.0625,1,0,0
2024-08-19,80,772,0.24430379746835443,3821,412,0.5981571605069371,0.5363810771606382,47.7625,1,0,0
2024-08-26,80,847,0.2680379746835443,4662,470,0.6138998156963577,0.5604488078541374,58.275,0,0,1
2024-09-02,80,823,0.26044303797468354,4361,474,0.5771572857307488,0.553918455480757,54.5125,0,0,1
2024-09-09,80,848,0.2683544303797468,4495,520,0.5616496206187445,0.5436623125302371,56.1875,0,0,1
2024-09-16,80,989,0.3129746835443038,6253,673,0.6025644207759873,0.5791423543576919,78.1625,0,0,1
2024-09-24,80,1027,0.325,6894,825,0.6414520559787591,0.5949771295417278,86.175,0,0,1
2024-10-01,80,1046,0.3310126582278481,7557,734,0.6770693515761963,0.6184967944345928,94.4625,0,0,1
2024-10-11,80,1076,0.34050632911392403,8089,592,0.702307615587909,0.6288416688261208,101.1125,0,0,1
2024-10-18,80,1175,0.37183544303797467,10050,688,0.7170648119080759,0.6621571168163749,125.625,0,0,1
2024-10-25,80,1004,0.31772151898734174,7244,634,0.706196496061061,0.6236941797727011,90.55,0,0,1
2024-11-04,80,881,0.27879746835443037,5682,386,0.6528814905921909,0.6081992364505655,71.025,0,0,1
2024-11-11,80,170,0.05379746835443038,171,26,0.30887796231546233,0.38484621155288823,2.1375,0,0,1
2024-11-18,80,152,0.04810126582278481,152,26,0.294970134032634,0.41567912488605285,1.9,0,0,1
2024-11-25,80,162,0.05126582278481013,165,24,0.30855284700679436,0.41701769165964614,2.0625,0,0,1
2024-12-02,80,221,0.06993670886075949,326,45,0.3595743605414471,0.42301038062283736,4.075,0,0,1
2024-12-09,80,249,0.07879746835443038,427,68,0.38944600602785584,0.4444829979181124,5.3375,0,0,1
